,country,iso3,region,income_level,n_valid_norms,score_equal_balanced,score_cost,score_sustainability,score_resilience
37,Costa Rica,CRI,Latin America & Caribbean ,High income,8,0.7028972285752848,0.5914934990054216,0.6092515938405928,0.8713800324063815
38,Czechia,CZE,Europe & Central Asia,High income,8,0.7005139504345284,0.7316215028254782,0.5162282607249188,0.9296304240083619
39,Romania,ROU,Europe & Central Asia,High income,8,0.700175806777238,0.7066968436568173,0.581950048059451,0.856215338383656
40,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,7,0.6976916513828754,0.9027395059377168,0.5617039824559298,0.7902696102008957
41,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,8,0.6935990953957507,0.8608484556269476,0.4953277947567993,0.7971597356430956
42,Namibia,NAM,Sub-Saharan Africa ,Lower middle income,7,0.6934286910260513,0.6333748377730379,0.6186916252417421,0.8136759112454589
43,Spain,ESP,Europe & Central Asia,High income,8,0.693417283015515,0.792656337337658,0.5640280279206242,0.7760479462274621
44,Armenia,ARM,Europe & Central Asia,Upper middle income,8,0.6913709301688352,0.8288765399800259,0.5699822926844456,0.7612256799112156
45,Bulgaria,BGR,Europe & Central Asia,High income,8,0.6909814112657319,0.7895154127876549,0.5143948063867325,0.8429224095286125
46,Serbia,SRB,Europe & Central Asia,Upper middle income,8,0.6905992481258837,0.7951419109518258,0.5265204960197679,0.8220116519078953
47,Lao PDR,LAO,East Asia & Pacific,Lower middle income,7,0.6834530373176096,0.6096321938803972,0.5315416371571691,0.8707095352882386
48,Belarus,BLR,Europe & Central Asia,Upper middle income,8,0.6805235437788721,0.8582474275742277,0.48506447605655933,0.7938367052675144
49,Hungary,HUN,Europe & Central Asia,High income,8,0.6796140683701322,0.6867533848811603,0.5201683897319008,0.8868021942003576
50,Belgium,BEL,Europe & Central Asia,High income,8,0.6757141123821226,0.7062438426329596,0.5569459367522351,0.8200143926795591
51,Slovak Republic,SVK,Europe & Central Asia,High income,8,0.6708795836825443,0.6407086159026737,0.5326017275022559,0.8904093445741341
52,Dominica,DMA,Latin America & Caribbean ,Upper middle income,6,0.6680371731186526,0.5045329415712843,0.3763546571577713,0.9304249643718298
53,San Marino,SMR,Europe & Central Asia,High income,5,0.666995915762574,0.7038960012176121,0.37181771479093106,0.9157444858378627
54,Zambia,ZMB,Sub-Saharan Africa ,Lower middle income,8,0.6665983768953407,0.7097486536372352,0.5892167640293918,0.7598000438781166
55,Moldova,MDA,Europe & Central Asia,Upper middle income,8,0.6656237515854624,0.7982125100655607,0.4670765253052448,0.8091805948453682
56,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,8,0.6636487676343183,0.8245515220149321,0.4057739602512582,0.8185556083656949
57,"Korea, Rep.",KOR,East Asia & Pacific,High income,8,0.6613379058636151,0.8088565367002206,0.4304713774397563,0.83476219879071
58,France,FRA,Europe & Central Asia,High income,8,0.6605749895900911,0.7660600514333601,0.5145592100906304,0.776087097975203
59,Angola,AGO,Sub-Saharan Africa ,Lower middle income,8,0.6562554309299062,0.787820118021577,0.543874919957951,0.6868823997369322
60,Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.6540668906393166,0.719983772969996,0.38597447714952265,0.9187503759269515
61,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,8,0.6522754616973192,0.8394939770079943,0.4358512060074133,0.7772865717113626
62,Argentina,ARG,Latin America & Caribbean ,Upper middle income,8,0.6479073885310551,0.8179589870815562,0.48807416316034125,0.7161012687267203
63,Lesotho,LSO,Sub-Saharan Africa ,Lower middle income,8,0.6468496476312076,0.8794949105592524,0.4533556836993861,0.7712479367204877
64,Poland,POL,Europe & Central Asia,High income,8,0.6455400634882579,0.5750678445481497,0.5559613304344234,0.8488990050069523
65,Greece,GRC,Europe & Central Asia,High income,8,0.643329817384125,0.6569134456917476,0.5309303687131602,0.7888961053864905
66,Eswatini,SWZ,Sub-Saharan Africa ,Lower middle income,7,0.6392290431528319,0.6028173608491365,0.6400718823819201,0.7085274318265163
67,Rwanda,RWA,Sub-Saharan Africa ,Low income,8,0.6375323418644803,0.7408527392116252,0.5112400196426234,0.7691500388177684
68,Japan,JPN,East Asia & Pacific,High income,8,0.6323325126237936,0.7215465139744444,0.4782398815070651,0.7727509684649269
69,Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,0.6304828794273972,0.8460022056289442,0.5023150702936274,0.6835151868304291
70,Botswana,BWA,Sub-Saharan Africa ,Upper middle income,8,0.6269936205316076,0.7096450872078699,0.32091663111125973,0.9223831130060332
71,Malawi,MWI,Sub-Saharan Africa ,Low income,8,0.6250226343412585,0.569540152557895,0.6104919106649866,0.7278497259811568
72,Brazil,BRA,Latin America & Caribbean ,Upper middle income,8,0.6248619015565633,0.615816475790185,0.5379587688098466,0.68389380201752
73,Ecuador,ECU,Latin America & Caribbean ,Upper middle income,8,0.6246216194977992,0.7482869032473561,0.5416648295852475,0.6123512076814669
74,Turkiye,TUR,Europe & Central Asia,Upper middle income,7,0.6245369986069609,0.8451533938338566,0.5524289088601547,0.6340853262951593
75,Russian Federation,RUS,Europe & Central Asia,High income,7,0.6228402687647504,0.9295253091220825,0.6267607290433835,0.5238298201900765
76,United States,USA,North America,High income,8,0.6216901083100368,0.7765747759319093,0.5040580478219062,0.65449845366116
77,Cabo Verde,CPV,Sub-Saharan Africa ,Upper middle income,7,0.6204501937793747,0.6008917760627316,0.3961688196385358,0.8902817913847024
78,China,CHN,East Asia & Pacific,Upper middle income,8,0.6181534063691513,0.8078318146335324,0.5565037462234765,0.5769748514869353
79,Mauritius,MUS,Sub-Saharan Africa ,Upper middle income,8,0.614680166496115,0.6489547675953943,0.35288755263791793,0.8821521791793456
80,Belize,BLZ,Latin America & Caribbean ,Upper middle income,8,0.6144574666587903,0.4728657773868262,0.519638993203162,0.8186955344243918
81,Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,0.6126264305084403,0.70294203735436,0.38289909504243813,0.7854436018870926
82,"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,7,0.6109771749033985,0.5821433076359483,0.6554580193319163,0.6921977366454098
83,Sao Tome and Principe,STP,Sub-Saharan Africa ,Lower middle income,6,0.6100057888600313,0.4174177813713609,0.3734089151808115,0.8586542320346973
84,Sri Lanka,LKA,South Asia,Lower middle income,8,0.608455689310205,0.6287821316009056,0.41176238257705866,0.7457320009849542
85,Fiji,FJI,East Asia & Pacific,Upper middle income,7,0.6063759613615174,0.4560691928132037,0.47155224605692286,0.825667960278754
86,Morocco,MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,0.6050522503350207,0.7540899471593789,0.402426644032565,0.7142937101655413
87,Uganda,UGA,Sub-Saharan Africa ,Low income,8,0.6029333852415661,0.5693317475022849,0.5947145464957377,0.6590203065504504
88,Suriname,SUR,Latin America & Caribbean ,Upper middle income,7,0.5995446565311484,0.48186192004253897,0.4205436831809577,0.8153589824463283
89,Qatar,QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.5984906467945249,0.6534906483294095,0.20739254426722897,0.9180888079620569
90,Cyprus,CYP,Europe & Central Asia,High income,8,0.5968339968285625,0.548291833229091,0.4030589646273264,0.856894998037676
91,Guatemala,GTM,Latin America & Caribbean ,Upper middle income,8,0.5967316565097781,0.5692589138683055,0.5041301455523223,0.7133702006407144
92,Ethiopia,ETH,Sub-Saharan Africa ,Not classified,8,0.5964450769894649,0.6556560799719208,0.5922013676384543,0.5618968755630649
93,El Salvador,SLV,Latin America & Caribbean ,Upper middle income,8,0.5924916255121098,0.46427633272362384,0.5240456221542032,0.7192075119731416
94,Bolivia,BOL,Latin America & Caribbean ,Lower middle income,7,0.5894446977132246,0.6248528561391221,0.41303524374865797,0.7715359200328531
95,Brunei Darussalam,BRN,East Asia & Pacific,High income,7,0.5884675626124317,0.5148370024920933,0.25135530226678726,0.9555613379881353
96,Panama,PAN,Latin America & Caribbean ,High income,8,0.5882409031503382,0.534903786213368,0.4807703831703607,0.7253717808253928
97,South Africa,ZAF,Sub-Saharan Africa ,Upper middle income,8,0.5861495760941132,0.7789808102232839,0.3952172545982827,0.6884800480547838
98,Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.5840782321079558,0.7305109950918686,0.3559907929903966,0.7142831951925174
99,Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,8,0.5830886361051679,0.6478741583474393,0.6371353045090346,0.5178210153332908
100,Australia,AUS,East Asia & Pacific,High income,8,0.5803606427782992,0.575451222232362,0.4107730685861519,0.7647856138688751
101,Peru,PER,Latin America & Caribbean ,Upper middle income,8,0.5738390182617482,0.6711548228366653,0.5102764154624173,0.5725035033534719
102,Viet Nam,VNM,East Asia & Pacific,Lower middle income,8,0.5736803927890289,0.6921483291249784,0.41350032001315884,0.6430824494736109
103,Cambodia,KHM,East Asia & Pacific,Lower middle income,7,0.5698158934057055,0.4724946333301744,0.3434560047211209,0.7945134937831322
104,St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Upper middle income,7,0.5685501442414325,0.4451847267733863,0.29103196430613143,0.9067491942958397
105,Italy,ITA,Europe & Central Asia,High income,8,0.5677612308219908,0.4189212448566625,0.5528270691021829,0.7633389705369188
106,Samoa,WSM,East Asia & Pacific,Upper middle income,6,0.5658359033607573,0.4976815882268307,0.2529078105868686,0.9058699078275312
107,Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.5649588278435568,0.6508111712535483,0.23715064622851584,0.7987563752221123
108,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,5,0.5631457132489472,0.39879661141777895,0.08462786569187011,0.9132389049123533
109,Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,7,0.5620911131728609,0.4584521127004259,0.2791651739279944,0.9021880534746132
110,Ghana,GHA,Sub-Saharan Africa ,Lower middle income,8,0.5577513475880435,0.51262050083618,0.33800754371059244,0.789680353439902
111,Malaysia,MYS,East Asia & Pacific,Upper middle income,8,0.5554970933427219,0.5981123344772825,0.3267223555244275,0.751970058933595
112,Singapore,SGP,East Asia & Pacific,High income,8,0.5530749957163552,0.4189249428389713,0.25242382205463787,0.9506190154973801
113,Grenada,GRD,Latin America & Caribbean ,Upper middle income,7,0.5503926135316232,0.42549490756086594,0.24918215273409539,0.9234724092603561
114,Burundi,BDI,Sub-Saharan Africa ,Low income,7,0.5503378783237123,0.5130641299846831,0.5771769007837424,0.6138557075035999
115,St. Kitts and Nevis,KNA,Latin America & Caribbean ,High income,7,0.549240694485935,0.42927131259870943,0.27882648304015584,0.8890479664220188
116,St. Lucia,LCA,Latin America & Caribbean ,Upper middle income,7,0.5460830798504575,0.42269696613311175,0.2554262225588603,0.9041849483880906
117,"Venezuela, RB",VEN,Latin America & Caribbean ,Not classified,8,0.5458874807241021,0.583782956654052,0.543072676084358,0.5035221871327087
118,Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income,7,0.5447018327609631,0.5456311199337018,0.3418009714220168,0.7710780608765435
119,Kenya,KEN,Sub-Saharan Africa ,Lower middle income,8,0.5388743065920323,0.4645280249678851,0.5376813922021038,0.5842551910429973
120,Trinidad and Tobago,TTO,Latin America & Caribbean ,High income,7,0.5372950045904179,0.4807817959346945,0.2537787925360472,0.845854657639707
121,Honduras,HND,Latin America & Caribbean ,Lower middle income,8,0.5339130147207256,0.5003008934436364,0.4599098324300783,0.6394741748675501
122,Nicaragua,NIC,Latin America & Caribbean ,Lower middle income,8,0.5338658410974666,0.4857009512470074,0.4556076991837189,0.6353170603207597
123,"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,0.5330179588160098,0.7372466543999712,0.31216721314662693,0.596773281052073
124,Maldives,MDV,South Asia,Upper middle income,7,0.5318635582315167,0.4216036283231368,0.25630197844040764,0.8375564437036084
125,Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,0.530912810559844,0.6595521616996316,0.316608633042432,0.6801617321387105
126,Liberia,LBR,Sub-Saharan Africa ,Low income,7,0.5283342014393466,0.3315287957636696,0.4313114610576908,0.7346647952081671
127,Oman,OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.5276947606302379,0.47807688300438544,0.22915035124675787,0.8344351128299285
128,Barbados,BRB,Latin America & Caribbean ,High income,8,0.5260311296716929,0.34980466065059473,0.27424528039720364,0.9244632915486714
129,Palau,PLW,East Asia & Pacific,High income,5,0.525770219414413,0.3235719449440248,0.07323899877014198,0.8936777560292215
130,Gabon,GAB,Sub-Saharan Africa ,Upper middle income,8,0.524209418985989,0.4903423137998659,0.38569406362536607,0.7232981141521018
131,Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,7,0.5232411683452819,0.4500082968265143,0.3713724073451259,0.7466258313728543
132,Comoros,COM,Sub-Saharan Africa ,Lower middle income,6,0.5195469296590448,0.3241504925317581,0.388679605235152,0.7273201957089105
133,Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.519359898135387,0.6431494919494392,0.18859288992560874,0.719579706306938
134,"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,Low income,7,0.5167645297574208,0.35571946248604286,0.5843447199017701,0.5164484834240621
135,Cameroon,CMR,Sub-Saharan Africa ,Lower middle income,8,0.5161410515294,0.4873485818536201,0.4997418188114117,0.5542045235408015
136,Seychelles,SYC,Sub-Saharan Africa ,High income,6,0.5153291351676258,0.49401486632300357,0.129007208122335,0.8860369305376422
137,Guinea,GIN,Sub-Saharan Africa ,Lower middle income,7,0.515237153857329,0.2864135341546702,0.47878024149980336,0.6463247562713192
138,Cuba,CUB,Latin America & Caribbean ,Upper middle income,7,0.514166492834463,0.44325090836751796,0.27289280382036873,0.8055195509254132
139,Colombia,COL,Latin America & Caribbean ,Upper middle income,8,0.5108880162474211,0.5780583867739552,0.47172097882481046,0.4666124979776071
140,Zimbabwe,ZWE,Sub-Saharan Africa ,Lower middle income,7,0.5081068862958608,0.40797074916226606,0.4971867278806109,0.6431430499913449
141,Sudan,SDN,Sub-Saharan Africa ,Low income,8,0.505383499106335,0.5220277505331521,0.4581441150134985,0.5080539551776043
142,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,7,0.505206626200886,0.48954081719620834,0.3082459377711712,0.7920796281510913
143,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,5,0.49763329887040547,0.2694719038935507,0.07860219774626027,0.8844904551194174
144,Sierra Leone,SLE,Sub-Saharan Africa ,Low income,8,0.49424412641249904,0.2315268671331771,0.5425972820200515,0.6747400993062419
145,Jamaica,JAM,Latin America & Caribbean ,Upper middle income,8,0.4940035778245824,0.3867721381685526,0.29367480704835697,0.8110306091913233
146,Tonga,TON,East Asia & Pacific,Upper middle income,6,0.493646169874677,0.4561535535674808,0.15000011872492905,0.8861562740631572
147,Kiribati,KIR,East Asia & Pacific,Lower middle income,6,0.4923183222371524,0.37324804449911425,0.1554215161067768,0.890934809443376
148,Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8,0.49135216643945123,0.6761590955842028,0.2613281219833653,0.5555405667917326
149,United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,7,0.4886752509783302,0.3856119520042964,0.1560674802516602,0.8242368881262577
150,Mozambique,MOZ,Sub-Saharan Africa ,Low income,8,0.4865808276501881,0.5834055799444448,0.5437104690321326,0.3733430744192533
151,Tanzania,TZA,Sub-Saharan Africa ,Lower middle income,8,0.48656750391913417,0.5596814645193159,0.4120351157983637,0.5952381570508175
152,"Iran, Islamic Rep.",IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7,0.48309970625975635,0.6492545271619501,0.318903492562506,0.5853374286483857
153,"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,7,0.4818311101119636,0.34890086164643075,0.33906254030671007,0.7299479937712935
154,Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,0.4785738331384219,0.27244909577074167,0.31654045507791695,0.6936819488040732
155,Central African Republic,CAF,Sub-Saharan Africa ,Low income,5,0.47465784376545006,,0.3589234809048663,0.6114365691432477
156,Nigeria,NGA,Sub-Saharan Africa ,Lower middle income,8,0.4738263887490967,0.5706268966274708,0.31255712097590516,0.5443678826440318
157,Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,7,0.47268801550655004,0.2896619115325315,0.3350384736927864,0.7013533462293232
158,Senegal,SEN,Sub-Saharan Africa ,Lower middle income,7,0.47074400975282066,0.23186294726700438,0.2627031502018881,0.7564168241355513
159,Guyana,GUY,Latin America & Caribbean ,High income,7,0.47009515527171486,0.3598911436739889,0.28030136022246077,0.7595311283310102
160,Madagascar,MDG,Sub-Saharan Africa ,Low income,8,0.4667326274070632,0.4981112312730977,0.4394629974380827,0.5339585289471475
161,Vanuatu,VUT,East Asia & Pacific,Lower middle income,5,0.46153961025731094,0.352842506090896,0.14374358596780187,0.7521068567785302
162,Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8,0.4610775236480966,0.5708800946339884,0.25241312602823746,0.6295772814047726
163,Mexico,MEX,Latin America & Caribbean ,Upper middle income,8,0.46042298713079793,0.5884181618607108,0.38429675814423625,0.4682225265663836
164,Indonesia,IDN,East Asia & Pacific,Upper middle income,8,0.460377010433746,0.6456324335890838,0.3222297312561473,0.4568661093226611
165,Bangladesh,BGD,South Asia,Lower middle income,8,0.45438918978404097,0.612287966694909,0.2678742025702762,0.5121579290995093
166,Thailand,THA,East Asia & Pacific,Upper middle income,7,0.45432509545937944,0.5147305465484971,0.2942946097584588,0.6077615364995645
167,"Bahamas, The",BHS,Latin America & Caribbean ,High income,7,0.4512367774969483,0.3532537642700935,0.0820400043472254,0.8899745821137777
168,Nauru,NRU,East Asia & Pacific,High income,5,0.44772035524263,,0.12154951201088601,0.9222881691821913
169,Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0.4454098512316075,0.6150077849745968,0.029664441868984214,0.6983412620462468
170,Philippines,PHL,East Asia & Pacific,Lower middle income,8,0.44459647147339654,0.59006198126191,0.3173646410000386,0.4228515676882228
171,West Bank and Gaza,PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5,0.4436312046993735,,0.4365416198925026,0.43836352728162925
172,Haiti,HTI,Latin America & Caribbean ,Lower middle income,7,0.44013698476035173,0.360002483026142,0.3245966805828473,0.6159313600114182
173,Pakistan,PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,0.43442630712375224,0.52976170874305,0.38706699758496743,0.4121938932884465
174,Togo,TGO,Sub-Saharan Africa ,Low income,8,0.4339965088243643,0.329360535741281,0.3253990057761249,0.6629209048125959
175,"Gambia, The",GMB,Sub-Saharan Africa ,Low income,7,0.4296960896188558,0.19543762134907658,0.22228833870105671,0.7606374681081651
176,Mauritania,MRT,Sub-Saharan Africa ,Lower middle income,7,0.42918044304311787,0.18807208611728088,0.2847212147859848,0.6769945051826846
177,Benin,BEN,Sub-Saharan Africa ,Lower middle income,7,0.4262685663962084,0.19452846659998518,0.23742045172683027,0.7348334831760872
178,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,7,0.4262363363363842,0.25956069369511636,0.2801093453878905,0.7397647162430558
179,Eritrea,ERI,Sub-Saharan Africa ,Low income,7,0.42427391726560587,0.2510489201317973,0.2668409446356374,0.6647482259528453
180,Tuvalu,TUV,East Asia & Pacific,Upper middle income,5,0.42278565514266225,0.10723889977330715,0.06740730842893594,0.8582996323491184
181,Puerto Rico (US),PRI,Latin America & Caribbean ,High income,5,0.42067306643520236,,0.28506648948209534,0.7862785251541345
182,India,IND,South Asia,Lower middle income,8,0.4204809445409901,0.5554927658885692,0.32322422363926273,0.4229345324542749
183,Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7,0.42030121443347085,0.6054073203108067,0.24752773309937445,0.5032109092726331
184,Guinea-Bissau,GNB,Sub-Saharan Africa ,Low income,7,0.4157804290810675,0.20148167208526915,0.22769871013606705,0.7186193236702808
185,Syrian Arab Republic,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income,8,0.4096751616649615,0.6113022969793174,0.31783882351955706,0.4244401653791633
186,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,7,0.40773148919431523,0.38567321800980964,0.36581579212252124,0.5164366709400245
187,Burkina Faso,BFA,Sub-Saharan Africa ,Low income,8,0.39681996022535126,0.30558579451636325,0.25802388354730416,0.5884551605006465
188,Mali,MLI,Sub-Saharan Africa ,Low income,8,0.3960028974888815,0.3566677147748314,0.25796573188055383,0.5332146941567616
189,Myanmar,MMR,East Asia & Pacific,Lower middle income,7,0.37727654387493825,0.4262165624173171,0.4312348367492377,0.3083078297349253
190,Bermuda,BMU,North America,High income,5,0.3745745472935197,0.4839897638150429,0.1631694850230928,
191,"Somalia, Fed. Rep.",SOM,Sub-Saharan Africa ,Low income,7,0.36619839429057144,0.3464698578083457,0.307996592860371,0.4130767286312499
192,Chad,TCD,Sub-Saharan Africa ,Low income,7,0.35300162962870096,0.12755252686590202,0.24251873050074563,0.5813816259647961
193,Niger,NER,Sub-Saharan Africa ,Low income,7,0.33650756267936777,0.07131097642447501,0.23108941879241052,0.5874714911597092
194,South Sudan,SSD,Sub-Saharan Africa ,Low income,7,0.32329236570526704,0.045285060890077486,0.21938436385353924,0.574167756403758
195,Aruba,ABW,Latin America & Caribbean ,High income,5,0.3186617345050622,0.24281013848777264,0.1209539637241882,
196,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,6,0.30511024625301303,0.16527463730013986,0.09901682179648354,0.6565147203166155
197,Cayman Islands,CYM,Latin America & Caribbean ,High income,5,0.2674813635772969,0.15726929356400648,0.06535417232510435,
198,"Yemen, Rep.",YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income,7,0.2610647389306404,0.18493600366965898,0.28302645166546664,0.3073701007067542
199,American Samoa,ASM,East Asia & Pacific,High income,4,,,0.08088295528607155,
200,Channel Islands,CHI,Europe & Central Asia,High income,0,,,,
201,Curacao,CUW,Latin America & Caribbean ,High income,2,,,0.09343194013054862,
202,Faroe Islands,FRO,Europe & Central Asia,High income,2,,,0.5823239035504082,
203,Gibraltar,GIB,Europe & Central Asia,High income,3,,,0.21420765511618203,
204,Greenland,GRL,Europe & Central Asia,High income,4,,,0.9374874999999999,
205,Guam,GUM,East Asia & Pacific,High income,4,,,0.07918696727741432,
206,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,3,,,,
207,Isle of Man,IMN,Europe & Central Asia,High income,2,,,0.5196623692742517,
208,"Macao SAR, China",MAC,East Asia & Pacific,High income,2,,,,
209,St. Martin (French part),MAF,Latin America & Caribbean ,High income,2,,,0.10933737650289466,
210,Northern Mariana Islands,MNP,East Asia & Pacific,High income,2,,,0.07724580889297328,
211,New Caledonia,NCL,East Asia & Pacific,High income,4,,,0.24794268811691741,
212,French Polynesia,PYF,East Asia & Pacific,High income,4,,,0.21824710728852212,
