country,iso3,outlier_avg_mean_temp_c_2021_2023,outlier_cooling_degree_days_65f_2021_2023,outlier_days_heat_index_gt35c_2021_2023,outlier_water_stress_pct_latest,outlier_freshwater_m3_per_capita_latest,outlier_worldrisk_index_2025,outlier_political_stability_score_0_100_avg_3y,outlier_electricity_business_usd_kwh,outlier_renewable_share_pct,outlier_internet_penetration_pct_clean,n_outlier_flags
Niger,NER,False,False,True,False,False,False,False,False,False,False,1
Mauritania,MRT,False,False,True,False,False,False,False,False,False,False,1
Mozambique,MOZ,False,False,False,False,False,True,False,False,False,False,1
Mali,MLI,False,False,True,False,False,False,False,False,False,False,1
Sri Lanka,LKA,False,False,True,False,False,False,False,False,False,False,1
Mexico,MEX,False,False,False,False,False,True,False,False,False,False,1
Libya,LBY,False,False,False,True,False,False,False,False,False,False,1
Liberia,LBR,False,False,False,False,True,False,False,False,False,False,1
Italy,ITA,False,False,False,False,False,False,False,True,False,False,1
Lao PDR,LAO,False,False,False,False,True,False,False,False,False,False,1
Panama,PAN,False,False,False,False,True,False,False,False,False,False,1
Nepal,NPL,False,False,True,False,False,False,False,False,False,False,1
Nicaragua,NIC,False,False,False,False,True,False,False,False,False,False,1
New Zealand,NZL,False,False,False,False,True,False,False,False,False,False,1
Norway,NOR,False,False,False,False,True,False,False,False,False,False,1
Nigeria,NGA,False,False,True,False,False,False,False,False,False,False,1
Sudan,SDN,False,False,False,True,False,False,False,False,False,False,1
Paraguay,PRY,False,False,True,False,False,False,False,False,False,False,1
Philippines,PHL,False,False,False,False,False,True,False,False,False,False,1
Senegal,SEN,False,False,True,False,False,False,False,False,False,False,1
Syrian Arab Republic,SYR,False,False,False,True,False,False,False,False,False,False,1
Solomon Islands,SLB,False,False,False,False,True,False,False,False,False,False,1
"Somalia, Fed. Rep.",SOM,False,False,False,False,False,True,False,False,False,False,1
Suriname,SUR,False,False,False,False,True,False,False,False,False,False,1
Thailand,THA,False,False,True,False,False,False,False,False,False,False,1
Togo,TGO,False,False,True,False,False,False,False,False,False,False,1
Chad,TCD,False,False,True,False,False,False,False,False,False,False,1
Turkmenistan,TKM,False,False,False,True,False,False,False,False,False,False,1
Uzbekistan,UZB,False,False,False,True,False,False,False,False,False,False,1
Uruguay,URY,False,False,False,False,True,False,False,False,False,False,1
"Venezuela, RB",VEN,False,False,False,False,True,False,False,False,False,False,1
Vanuatu,VUT,False,False,False,False,True,False,False,False,False,False,1
